split_scheme,patient_id,in_splits
train_classifier_80_20,1904,train&test
train_classifier_80_20,1920,train&test
train_classifier_80_20,1961,train&test
train_classifier_80_20,2329,train&test
train_classifier_80_20,2562,train&test
train_classifier_80_20,3219,train&test
train_classifier_80_20,3479,train&test
train_classifier_80_20,3614,train&test
train_cnn_60_20_20,1647,train&val
train_cnn_60_20_20,1904,train&val&test
train_cnn_60_20_20,1920,train&val&test
train_cnn_60_20_20,1961,train&val&test
train_cnn_60_20_20,2329,train&val&test
train_cnn_60_20_20,2562,train&val&test
train_cnn_60_20_20,3219,train&val&test
train_cnn_60_20_20,3479,train&val&test
train_cnn_60_20_20,3614,train&val&test
