source_image,label,donor,raw
Duodenum_A1CF_Female_62_3515.jpg,usable,3515,usable
Duodenum_AACS_Female_62_3515.jpg,usable,3515,usable
Duodenum_AACS_Female_67_3479.jpg,usable,3479,usable
Duodenum_AACS_Male_59_1961.jpg,usable,1961,usable
Duodenum_AAGAB_Female_62_3515.jpg,usable,3515,usable
Duodenum_AAGAB_Male_35_3219.jpg,usable,3219,usable
Duodenum_AAGAB_Male_55_1920.jpg,usable,1920,usable
Duodenum_AARS2_Female_62_3515.jpg,usable,3515,usable
Duodenum_AARS2_Male_35_3219.jpg,usable,3219,usable
Duodenum_AARS2_Male_55_1920.jpg,usable,1920,usable
Duodenum_AASDH_Female_62_3515.jpg,usable,3515,usable
Duodenum_AASDH_Male_35_3219.jpg,usable,3219,usable
Duodenum_AASDH_Male_55_1920.jpg,usable,1920,usable
Duodenum_AASS_Male_54_2562.jpg,unusable,2562,unusable
Duodenum_AATF_Female_53_3413.jpg,unusable,3413,unusable
Duodenum_AATF_Male_66_2329.jpg,usable,2329,usable
Duodenum_ABCA5_Male_54_2562.jpg,usable,2562,usable
Duodenum_ABCA9_Female_62_3515.jpg,usable,3515,usable
Duodenum_ABCA9_Female_67_3479.jpg,usable,3479,usable
Duodenum_ABCA9_Male_55_1920.jpg,usable,1920,usable
Duodenum_ABCD3_Female_62_3515.jpg,usable,3515,usable
Duodenum_ABCD3_Male_35_3219.jpg,usable,3219,usable
Duodenum_ABCD3_Male_55_1920.jpg,usable,1920,usable
Duodenum_ABCE1_Male_54_2562.jpg,usable,2562,usable
Duodenum_ABCF1_Male_54_2562.jpg,usable,2562,usable
Duodenum_ABCF3_Male_35_3219.jpg,unusable,3219,unusable
Duodenum_ABCF3_Male_55_1920.jpg,usable,1920,usable
Duodenum_ABCG2_Female_62_3515.jpg,usable,3515,usable
Duodenum_ABCG8_Male_54_2562.jpg,usable,2562,usable
Duodenum_ABHD10_Female_62_3515.jpg,usable,3515,usable
Duodenum_ABHD10_Male_35_3219.jpg,unusable,3219,unusable
Duodenum_ABHD10_Male_55_1920.jpg,usable,1920,usable
Duodenum_ABHD18_Female_62_3515.jpg,usable,3515,usable
Duodenum_ABHD18_Female_67_3479.jpg,usable,3479,usable
Duodenum_ABHD18_Male_55_1920.jpg,usable,1920,usable
Duodenum_ABHD2_Female_53_3413.jpg,usable,3413,usable
Duodenum_ABHD2_Male_66_2329.jpg,usable,2329,usable
Duodenum_ABHD8_Female_62_3515.jpg,unusable,3515,unusable
Duodenum_ABHD8_Male_54_2562.jpg,usable,2562,usable
Duodenum_ABI1_Male_54_2562.jpg,usable,2562,usable
Duodenum_ABR_Female_62_3515.jpg,usable,3515,usable
Duodenum_ABR_Female_67_3479.jpg,usable,3479,usable
Duodenum_ABR_Male_55_1920.jpg,usable,1920,usable
Duodenum_ACAA2_Female_62_3515.jpg,usable,3515,usable
Duodenum_ACAA2_Male_35_3219.jpg,usable,3219,usable
Duodenum_ACAA2_Male_55_1920.jpg,usable,1920,usable
Duodenum_ACACA_Female_62_3515.jpg,usable,3515,usable
Duodenum_ACACA_Female_67_3479.jpg,usable,3479,usable
Duodenum_ACACA_Male_54_2562.jpg,usable,2562,usable
Duodenum_ACACA_Male_59_1961.jpg,unusable,1961,unusable
Duodenum_ACAD8_Female_62_3515.jpg,usable,3515,usable
Duodenum_ACAD8_Female_67_3479.jpg,unusable,3479,unusable
Duodenum_ACAD8_Male_55_1920.jpg,usable,1920,usable
Duodenum_ACAD9_Female_62_3515.jpg,usable,3515,usable
Duodenum_ACAD9_Male_35_3219.jpg,usable,3219,usable
Duodenum_ACADM_Male_66_2329.jpg,usable,2329,usable
Duodenum_ACADSB_Male_54_2562.jpg,usable,2562,usable
Duodenum_ACADSB_Male_59_1961.jpg,unusable,1961,unusable
Duodenum_ACADS_Male_54_2562.jpg,usable,2562,usable
Duodenum_ACADVL_Male_54_2562.jpg,usable,2562,usable
Duodenum_ACAP2_Male_35_3219.jpg,usable,3219,usable
Duodenum_ACAP2_Male_55_1920.jpg,unusable,1920,unusable
Duodenum_ACAP3_Female_62_3515.jpg,usable,3515,usable
Duodenum_ACAP3_Female_67_3479.jpg,usable,3479,usable
Duodenum_ACAP3_Male_55_1920.jpg,usable,1920,usable
Duodenum_ACAT1_Female_53_3413.jpg,usable,3413,usable
Duodenum_ACAT1_Male_66_2329.jpg,usable,2329,usable
Duodenum_ACBD3_Male_54_2562.jpg,usable,2562,usable
Duodenum_ACBD4_Female_62_3515.jpg,usable,3515,usable
Duodenum_ACBD4_Female_67_3479.jpg,usable,3479,usable
Duodenum_ACBD4_Male_55_1920.jpg,usable,1920,usable
Duodenum_ACBD5_Male_66_2329.jpg,usable,2329,usable
Duodenum_ACE2_Female_62_3515.jpg,usable,3515,usable
Duodenum_ACO1_Male_54_2562.jpg,usable,2562,usable
Duodenum_ACO2_Male_66_2329.jpg,usable,2329,usable
Duodenum_ACOT8_Male_54_2562.jpg,usable,2562,usable
Duodenum_ACOX1_Male_54_2562.jpg,usable,2562,usable
Duodenum_ACSF2_Male_54_2562.jpg,usable,2562,usable
Duodenum_ACSL1_Female_62_3515.jpg,usable,3515,usable
Duodenum_ACSL1_Female_67_3479.jpg,usable,3479,usable
Duodenum_ACSL3_Male_54_2562.jpg,usable,2562,usable
Duodenum_ACSL5_Female_53_3413.jpg,usable,3413,usable
Duodenum_ACSL5_Male_59_1961.jpg,usable,1961,usable
Duodenum_ACSL5_Male_66_2329.jpg,usable,2329,usable
Duodenum_ACSL6_Female_62_3515.jpg,usable,3515,usable
Duodenum_ACSL6_Female_67_3479.jpg,usable,3479,usable
Duodenum_ACSL6_Male_59_1961.jpg,usable,1961,usable
Duodenum_ACTA1_Female_77_195.jpg,usable,195,usable
Duodenum_ACTA2_Female_77_195.jpg,usable,195,usable
Duodenum_ACTBL2_Female_62_3515.jpg,usable,3515,usable
Duodenum_ACTC1_Female_62_3515.jpg,usable,3515,usable
Duodenum_ACTC1_Female_67_3479.jpg,usable,3479,usable
Duodenum_ACTC1_Male_35_3219.jpg,unusable,3219,unusable
Duodenum_ACTC1_Male_55_1920.jpg,usable,1920,usable
Duodenum_ACTG1_Female_62_3515.jpg,usable,3515,usable
Duodenum_ACTG1_Female_67_3479.jpg,usable,3479,usable
Duodenum_ACTG1_Male_55_1920.jpg,usable,1920,usable
Duodenum_ACTG2_Female_62_3515.jpg,usable,3515,usable
Duodenum_ACTG2_Female_67_3479.jpg,usable,3479,usable
Duodenum_ACTG2_Male_55_1920.jpg,usable,1920,usable
Duodenum_ACTL6A_Male_54_2562.jpg,usable,2562,usable
Duodenum_ACTN1_Female_53_3413.jpg,usable,3413,usable
Duodenum_ACTN1_Male_66_2329.jpg,usable,2329,usable
Duodenum_ACVR1C_Male_54_2562.jpg,usable,2562,usable
Duodenum_ACVR1C_Male_66_2329.jpg,usable,2329,usable
Duodenum_ACVR2A_Female_62_3515.jpg,unusable,3515,unusable
Duodenum_ACVR2A_Male_35_3219.jpg,usable,3219,usable
