tile_id,image_id,row,col,tissue_fraction,label,label_source
Small_intestine_AGTPBP1_Female_44_1800__r0c0.jpg,Small_intestine_AGTPBP1_Female_44_1800.jpg,0,0,0.0001,no,auto
Small_intestine_AGTPBP1_Female_44_1800__r0c1.jpg,Small_intestine_AGTPBP1_Female_44_1800.jpg,0,1,0.0000,no,auto
Small_intestine_AGTPBP1_Female_44_1800__r0c2.jpg,Small_intestine_AGTPBP1_Female_44_1800.jpg,0,2,0.0404,no,auto
Small_intestine_AGTPBP1_Female_44_1800__r0c6.jpg,Small_intestine_AGTPBP1_Female_44_1800.jpg,0,6,0.0036,no,auto
Small_intestine_AGTPBP1_Female_44_1800__r0c7.jpg,Small_intestine_AGTPBP1_Female_44_1800.jpg,0,7,0.0002,no,auto
Small_intestine_AGTPBP1_Female_44_1800__r1c0.jpg,Small_intestine_AGTPBP1_Female_44_1800.jpg,1,0,0.0002,no,auto
Small_intestine_AGTPBP1_Female_44_1800__r1c7.jpg,Small_intestine_AGTPBP1_Female_44_1800.jpg,1,7,0.0000,no,auto
Small_intestine_AGTPBP1_Female_44_1800__r6c0.jpg,Small_intestine_AGTPBP1_Female_44_1800.jpg,6,0,0.0000,no,auto
Small_intestine_AGTPBP1_Female_44_1800__r6c7.jpg,Small_intestine_AGTPBP1_Female_44_1800.jpg,6,7,0.0004,no,auto
Small_intestine_AGTPBP1_Female_44_1800__r7c0.jpg,Small_intestine_AGTPBP1_Female_44_1800.jpg,7,0,0.0000,no,auto
Small_intestine_AGTPBP1_Female_44_1800__r7c1.jpg,Small_intestine_AGTPBP1_Female_44_1800.jpg,7,1,0.0001,no,auto
Small_intestine_AGTPBP1_Female_44_1800__r7c6.jpg,Small_intestine_AGTPBP1_Female_44_1800.jpg,7,6,0.0001,no,auto
Small_intestine_AGTPBP1_Female_44_1800__r7c7.jpg,Small_intestine_AGTPBP1_Female_44_1800.jpg,7,7,0.0004,no,auto
Small_intestine_ACAA2_Female_64_2450__r0c0.jpg,Small_intestine_ACAA2_Female_64_2450.jpg,0,0,0.0000,no,auto
Small_intestine_ACAA2_Female_64_2450__r0c1.jpg,Small_intestine_ACAA2_Female_64_2450.jpg,0,1,0.0000,no,auto
Small_intestine_ACAA2_Female_64_2450__r0c4.jpg,Small_intestine_ACAA2_Female_64_2450.jpg,0,4,0.0025,no,auto
Small_intestine_ACAA2_Female_64_2450__r0c5.jpg,Small_intestine_ACAA2_Female_64_2450.jpg,0,5,0.0000,no,auto
Small_intestine_ACAA2_Female_64_2450__r0c6.jpg,Small_intestine_ACAA2_Female_64_2450.jpg,0,6,0.0000,no,auto
Small_intestine_ACAA2_Female_64_2450__r0c7.jpg,Small_intestine_ACAA2_Female_64_2450.jpg,0,7,0.0000,no,auto
Small_intestine_ACAA2_Female_64_2450__r1c0.jpg,Small_intestine_ACAA2_Female_64_2450.jpg,1,0,0.0001,no,auto
Small_intestine_ACAA2_Female_64_2450__r1c6.jpg,Small_intestine_ACAA2_Female_64_2450.jpg,1,6,0.0042,no,auto
Small_intestine_ACAA2_Female_64_2450__r1c7.jpg,Small_intestine_ACAA2_Female_64_2450.jpg,1,7,0.0000,no,auto
Small_intestine_ACAA2_Female_64_2450__r2c0.jpg,Small_intestine_ACAA2_Female_64_2450.jpg,2,0,0.0249,no,auto
Small_intestine_ACAA2_Female_64_2450__r2c7.jpg,Small_intestine_ACAA2_Female_64_2450.jpg,2,7,0.0001,no,auto
Small_intestine_ACAA2_Female_64_2450__r3c0.jpg,Small_intestine_ACAA2_Female_64_2450.jpg,3,0,0.0379,no,auto
Small_intestine_ACAA2_Female_64_2450__r3c7.jpg,Small_intestine_ACAA2_Female_64_2450.jpg,3,7,0.0084,no,auto
Small_intestine_ACAA2_Female_64_2450__r4c0.jpg,Small_intestine_ACAA2_Female_64_2450.jpg,4,0,0.0000,no,auto
Small_intestine_ACAA2_Female_64_2450__r5c0.jpg,Small_intestine_ACAA2_Female_64_2450.jpg,5,0,0.0000,no,auto
Small_intestine_ACAA2_Female_64_2450__r5c1.jpg,Small_intestine_ACAA2_Female_64_2450.jpg,5,1,0.0032,no,auto
Small_intestine_ACAA2_Female_64_2450__r6c0.jpg,Small_intestine_ACAA2_Female_64_2450.jpg,6,0,0.0000,no,auto
Small_intestine_ACAA2_Female_64_2450__r6c1.jpg,Small_intestine_ACAA2_Female_64_2450.jpg,6,1,0.0003,no,auto
Small_intestine_ACAA2_Female_64_2450__r6c2.jpg,Small_intestine_ACAA2_Female_64_2450.jpg,6,2,0.0178,no,auto
Small_intestine_ACAA2_Female_64_2450__r6c7.jpg,Small_intestine_ACAA2_Female_64_2450.jpg,6,7,0.0025,no,auto
Small_intestine_ACAA2_Female_64_2450__r7c0.jpg,Small_intestine_ACAA2_Female_64_2450.jpg,7,0,0.0000,no,auto
Small_intestine_ACAA2_Female_64_2450__r7c1.jpg,Small_intestine_ACAA2_Female_64_2450.jpg,7,1,0.0000,no,auto
Small_intestine_ACAA2_Female_64_2450__r7c2.jpg,Small_intestine_ACAA2_Female_64_2450.jpg,7,2,0.0000,no,auto
Small_intestine_ACAA2_Female_64_2450__r7c3.jpg,Small_intestine_ACAA2_Female_64_2450.jpg,7,3,0.0000,no,auto
Small_intestine_ACAA2_Female_64_2450__r7c6.jpg,Small_intestine_ACAA2_Female_64_2450.jpg,7,6,0.0000,no,auto
Small_intestine_ACAA2_Female_64_2450__r7c7.jpg,Small_intestine_ACAA2_Female_64_2450.jpg,7,7,0.0001,no,auto
Duodenum_ATP2B1_Female_53_3413__r0c0.jpg,Duodenum_ATP2B1_Female_53_3413.jpg,0,0,0.0000,no,auto
Duodenum_ATP2B1_Female_53_3413__r0c1.jpg,Duodenum_ATP2B1_Female_53_3413.jpg,0,1,0.0001,no,auto
Duodenum_ATP2B1_Female_53_3413__r0c2.jpg,Duodenum_ATP2B1_Female_53_3413.jpg,0,2,0.0208,no,auto
Duodenum_ATP2B1_Female_53_3413__r0c6.jpg,Duodenum_ATP2B1_Female_53_3413.jpg,0,6,0.0000,no,auto
Duodenum_ATP2B1_Female_53_3413__r0c7.jpg,Duodenum_ATP2B1_Female_53_3413.jpg,0,7,0.0000,no,auto
Duodenum_ATP2B1_Female_53_3413__r1c0.jpg,Duodenum_ATP2B1_Female_53_3413.jpg,1,0,0.0001,no,auto
Duodenum_ATP2B1_Female_53_3413__r1c7.jpg,Duodenum_ATP2B1_Female_53_3413.jpg,1,7,0.0000,no,auto
Duodenum_ATP2B1_Female_53_3413__r6c0.jpg,Duodenum_ATP2B1_Female_53_3413.jpg,6,0,0.0006,no,auto
Duodenum_ATP2B1_Female_53_3413__r6c7.jpg,Duodenum_ATP2B1_Female_53_3413.jpg,6,7,0.0000,no,auto
Duodenum_ATP2B1_Female_53_3413__r7c0.jpg,Duodenum_ATP2B1_Female_53_3413.jpg,7,0,0.0001,no,auto
Duodenum_ATP2B1_Female_53_3413__r7c1.jpg,Duodenum_ATP2B1_Female_53_3413.jpg,7,1,0.0000,no,auto
Duodenum_ATP2B1_Female_53_3413__r7c6.jpg,Duodenum_ATP2B1_Female_53_3413.jpg,7,6,0.0001,no,auto
Duodenum_ATP2B1_Female_53_3413__r7c7.jpg,Duodenum_ATP2B1_Female_53_3413.jpg,7,7,0.0001,no,auto
Duodenum_ACVR2A_Male_55_1920__r0c0.jpg,Duodenum_ACVR2A_Male_55_1920.jpg,0,0,0.0000,no,auto
Duodenum_ACVR2A_Male_55_1920__r0c1.jpg,Duodenum_ACVR2A_Male_55_1920.jpg,0,1,0.0003,no,auto
Duodenum_ACVR2A_Male_55_1920__r0c2.jpg,Duodenum_ACVR2A_Male_55_1920.jpg,0,2,0.0354,no,auto
Duodenum_ACVR2A_Male_55_1920__r0c5.jpg,Duodenum_ACVR2A_Male_55_1920.jpg,0,5,0.0018,no,auto
Duodenum_ACVR2A_Male_55_1920__r0c6.jpg,Duodenum_ACVR2A_Male_55_1920.jpg,0,6,0.0000,no,auto
Duodenum_ACVR2A_Male_55_1920__r0c7.jpg,Duodenum_ACVR2A_Male_55_1920.jpg,0,7,0.0000,no,auto
Duodenum_ACVR2A_Male_55_1920__r1c0.jpg,Duodenum_ACVR2A_Male_55_1920.jpg,1,0,0.0003,no,auto
Duodenum_ACVR2A_Male_55_1920__r1c5.jpg,Duodenum_ACVR2A_Male_55_1920.jpg,1,5,0.0416,no,auto
Duodenum_ACVR2A_Male_55_1920__r1c6.jpg,Duodenum_ACVR2A_Male_55_1920.jpg,1,6,0.0151,no,auto
Duodenum_ACVR2A_Male_55_1920__r1c7.jpg,Duodenum_ACVR2A_Male_55_1920.jpg,1,7,0.0000,no,auto
Duodenum_ACVR2A_Male_55_1920__r2c0.jpg,Duodenum_ACVR2A_Male_55_1920.jpg,2,0,0.0002,no,auto
Duodenum_ACVR2A_Male_55_1920__r2c7.jpg,Duodenum_ACVR2A_Male_55_1920.jpg,2,7,0.0001,no,auto
Duodenum_ACVR2A_Male_55_1920__r3c7.jpg,Duodenum_ACVR2A_Male_55_1920.jpg,3,7,0.0153,no,auto
Duodenum_ACVR2A_Male_55_1920__r4c5.jpg,Duodenum_ACVR2A_Male_55_1920.jpg,4,5,0.0396,no,auto
Duodenum_ACVR2A_Male_55_1920__r5c0.jpg,Duodenum_ACVR2A_Male_55_1920.jpg,5,0,0.0002,no,auto
Duodenum_ACVR2A_Male_55_1920__r5c5.jpg,Duodenum_ACVR2A_Male_55_1920.jpg,5,5,0.0049,no,auto
Duodenum_ACVR2A_Male_55_1920__r5c7.jpg,Duodenum_ACVR2A_Male_55_1920.jpg,5,7,0.0067,no,auto
Duodenum_ACVR2A_Male_55_1920__r6c0.jpg,Duodenum_ACVR2A_Male_55_1920.jpg,6,0,0.0004,no,auto
Duodenum_ACVR2A_Male_55_1920__r6c7.jpg,Duodenum_ACVR2A_Male_55_1920.jpg,6,7,0.0000,no,auto
Duodenum_ACVR2A_Male_55_1920__r7c0.jpg,Duodenum_ACVR2A_Male_55_1920.jpg,7,0,0.0002,no,auto
Duodenum_ACVR2A_Male_55_1920__r7c1.jpg,Duodenum_ACVR2A_Male_55_1920.jpg,7,1,0.0001,no,auto
Duodenum_ACVR2A_Male_55_1920__r7c2.jpg,Duodenum_ACVR2A_Male_55_1920.jpg,7,2,0.0193,no,auto
Duodenum_ACVR2A_Male_55_1920__r7c5.jpg,Duodenum_ACVR2A_Male_55_1920.jpg,7,5,0.0076,no,auto
Duodenum_ACVR2A_Male_55_1920__r7c6.jpg,Duodenum_ACVR2A_Male_55_1920.jpg,7,6,0.0000,no,auto
Duodenum_ACVR2A_Male_55_1920__r7c7.jpg,Duodenum_ACVR2A_Male_55_1920.jpg,7,7,0.0000,no,auto
Small_intestine_ABCD3_Female_56_1499__r0c0.jpg,Small_intestine_ABCD3_Female_56_1499.jpg,0,0,0.0000,no,auto
Small_intestine_ABCD3_Female_56_1499__r0c1.jpg,Small_intestine_ABCD3_Female_56_1499.jpg,0,1,0.0000,no,auto
Small_intestine_ABCD3_Female_56_1499__r0c2.jpg,Small_intestine_ABCD3_Female_56_1499.jpg,0,2,0.0035,no,auto
Small_intestine_ABCD3_Female_56_1499__r0c3.jpg,Small_intestine_ABCD3_Female_56_1499.jpg,0,3,0.0334,no,auto
Small_intestine_ABCD3_Female_56_1499__r0c4.jpg,Small_intestine_ABCD3_Female_56_1499.jpg,0,4,0.0350,no,auto
Small_intestine_ABCD3_Female_56_1499__r0c5.jpg,Small_intestine_ABCD3_Female_56_1499.jpg,0,5,0.0007,no,auto
Small_intestine_ABCD3_Female_56_1499__r0c6.jpg,Small_intestine_ABCD3_Female_56_1499.jpg,0,6,0.0000,no,auto
Small_intestine_ABCD3_Female_56_1499__r0c7.jpg,Small_intestine_ABCD3_Female_56_1499.jpg,0,7,0.0000,no,auto
Small_intestine_ABCD3_Female_56_1499__r1c0.jpg,Small_intestine_ABCD3_Female_56_1499.jpg,1,0,0.0000,no,auto
Small_intestine_ABCD3_Female_56_1499__r1c7.jpg,Small_intestine_ABCD3_Female_56_1499.jpg,1,7,0.0000,no,auto
Small_intestine_ABCD3_Female_56_1499__r2c0.jpg,Small_intestine_ABCD3_Female_56_1499.jpg,2,0,0.0001,no,auto
