tile_id,tissue_fraction
Small_intestine_AGTPBP1_Female_44_1800__r0c0.jpg,0.0001
Small_intestine_AGTPBP1_Female_44_1800__r0c1.jpg,0.0000
Small_intestine_AGTPBP1_Female_44_1800__r0c2.jpg,0.0404
Small_intestine_AGTPBP1_Female_44_1800__r0c3.jpg,0.2200
Small_intestine_AGTPBP1_Female_44_1800__r0c4.jpg,0.3155
Small_intestine_AGTPBP1_Female_44_1800__r0c5.jpg,0.0852
Small_intestine_AGTPBP1_Female_44_1800__r0c6.jpg,0.0036
Small_intestine_AGTPBP1_Female_44_1800__r0c7.jpg,0.0002
Small_intestine_AGTPBP1_Female_44_1800__r1c0.jpg,0.0002
Small_intestine_AGTPBP1_Female_44_1800__r1c1.jpg,0.2416
Small_intestine_AGTPBP1_Female_44_1800__r1c2.jpg,0.7739
Small_intestine_AGTPBP1_Female_44_1800__r1c3.jpg,0.9021
Small_intestine_AGTPBP1_Female_44_1800__r1c4.jpg,0.9299
Small_intestine_AGTPBP1_Female_44_1800__r1c5.jpg,0.8515
Small_intestine_AGTPBP1_Female_44_1800__r1c6.jpg,0.2846
Small_intestine_AGTPBP1_Female_44_1800__r1c7.jpg,0.0000
Small_intestine_AGTPBP1_Female_44_1800__r2c0.jpg,0.0717
Small_intestine_AGTPBP1_Female_44_1800__r2c1.jpg,0.7918
Small_intestine_AGTPBP1_Female_44_1800__r2c2.jpg,0.8728
Small_intestine_AGTPBP1_Female_44_1800__r2c3.jpg,0.8853
Small_intestine_AGTPBP1_Female_44_1800__r2c4.jpg,0.9400
Small_intestine_AGTPBP1_Female_44_1800__r2c5.jpg,0.8882
Small_intestine_AGTPBP1_Female_44_1800__r2c6.jpg,0.8678
Small_intestine_AGTPBP1_Female_44_1800__r2c7.jpg,0.0906
Small_intestine_AGTPBP1_Female_44_1800__r3c0.jpg,0.3963
Small_intestine_AGTPBP1_Female_44_1800__r3c1.jpg,0.9344
Small_intestine_AGTPBP1_Female_44_1800__r3c2.jpg,0.9325
Small_intestine_AGTPBP1_Female_44_1800__r3c3.jpg,0.8835
Small_intestine_AGTPBP1_Female_44_1800__r3c4.jpg,0.9136
Small_intestine_AGTPBP1_Female_44_1800__r3c5.jpg,0.9131
Small_intestine_AGTPBP1_Female_44_1800__r3c6.jpg,0.9388
Small_intestine_AGTPBP1_Female_44_1800__r3c7.jpg,0.3198
Small_intestine_AGTPBP1_Female_44_1800__r4c0.jpg,0.4403
Small_intestine_AGTPBP1_Female_44_1800__r4c1.jpg,0.9456
Small_intestine_AGTPBP1_Female_44_1800__r4c2.jpg,0.9429
Small_intestine_AGTPBP1_Female_44_1800__r4c3.jpg,0.9498
Small_intestine_AGTPBP1_Female_44_1800__r4c4.jpg,0.9449
Small_intestine_AGTPBP1_Female_44_1800__r4c5.jpg,0.9087
Small_intestine_AGTPBP1_Female_44_1800__r4c6.jpg,0.8966
Small_intestine_AGTPBP1_Female_44_1800__r4c7.jpg,0.4038
Small_intestine_AGTPBP1_Female_44_1800__r5c0.jpg,0.1729
Small_intestine_AGTPBP1_Female_44_1800__r5c1.jpg,0.9060
Small_intestine_AGTPBP1_Female_44_1800__r5c2.jpg,0.9200
Small_intestine_AGTPBP1_Female_44_1800__r5c3.jpg,0.9059
Small_intestine_AGTPBP1_Female_44_1800__r5c4.jpg,0.9143
Small_intestine_AGTPBP1_Female_44_1800__r5c5.jpg,0.9436
Small_intestine_AGTPBP1_Female_44_1800__r5c6.jpg,0.9253
Small_intestine_AGTPBP1_Female_44_1800__r5c7.jpg,0.2031
Small_intestine_AGTPBP1_Female_44_1800__r6c0.jpg,0.0000
Small_intestine_AGTPBP1_Female_44_1800__r6c1.jpg,0.4165
Small_intestine_AGTPBP1_Female_44_1800__r6c2.jpg,0.9347
Small_intestine_AGTPBP1_Female_44_1800__r6c3.jpg,0.9223
Small_intestine_AGTPBP1_Female_44_1800__r6c4.jpg,0.9395
Small_intestine_AGTPBP1_Female_44_1800__r6c5.jpg,0.9272
Small_intestine_AGTPBP1_Female_44_1800__r6c6.jpg,0.4911
Small_intestine_AGTPBP1_Female_44_1800__r6c7.jpg,0.0004
Small_intestine_AGTPBP1_Female_44_1800__r7c0.jpg,0.0000
Small_intestine_AGTPBP1_Female_44_1800__r7c1.jpg,0.0001
Small_intestine_AGTPBP1_Female_44_1800__r7c2.jpg,0.1579
Small_intestine_AGTPBP1_Female_44_1800__r7c3.jpg,0.4344
Small_intestine_AGTPBP1_Female_44_1800__r7c4.jpg,0.4540
Small_intestine_AGTPBP1_Female_44_1800__r7c5.jpg,0.1769
