image_id,label,reviewer,event_ts
Duodenum_AAGAB_Female_62_3515__r0c2.jpg,no,expert,2026-08-23T20:17:01.119059
Duodenum_AAGAB_Female_62_3515__r0c3.jpg,yes,expert,2026-08-23T20:17:04.601329
Duodenum_AAGAB_Female_62_3515__r0c4.jpg,yes,expert,2026-08-23T20:17:08.963232
Duodenum_AAGAB_Female_62_3515__r1c1.jpg,yes,expert,2026-08-23T20:17:12.761933
Duodenum_AAGAB_Female_62_3515__r1c2.jpg,yes,expert,2026-08-23T20:17:18.065149
Duodenum_AAGAB_Female_62_3515__r1c3.jpg,yes,expert,2026-08-23T20:17:20.903262
Duodenum_AAGAB_Female_62_3515__r1c4.jpg,yes,expert,2026-08-23T20:17:24.468271
Duodenum_AAGAB_Female_62_3515__r1c5.jpg,yes,expert,2026-08-23T20:17:42.419787
Duodenum_AAGAB_Female_62_3515__r1c6.jpg,no,expert,2026-08-23T20:17:51.984166
Duodenum_AAGAB_Female_62_3515__r2c0.jpg,no,expert,2026-08-23T20:17:54.563204
Duodenum_AAGAB_Female_62_3515__r2c1.jpg,yes,expert,2026-08-23T20:18:05.188670
Duodenum_AAGAB_Female_62_3515__r2c2.jpg,no,expert,2026-08-23T20:18:11.214073
Duodenum_AAGAB_Female_62_3515__r2c3.jpg,yes,expert,2026-08-23T20:18:26.782806
Duodenum_AAGAB_Female_62_3515__r2c4.jpg,no,expert,2026-08-23T20:18:30.052437
Duodenum_AAGAB_Female_62_3515__r2c5.jpg,yes,expert,2026-08-23T20:18:38.695056
Duodenum_AAGAB_Female_62_3515__r2c6.jpg,yes,expert,2026-08-23T20:18:45.338439
Duodenum_AAGAB_Female_62_3515__r3c0.jpg,no,expert,2026-08-23T20:18:48.418333
Duodenum_AAGAB_Female_62_3515__r3c1.jpg,no,expert,2026-08-23T20:18:56.663389
Duodenum_AAGAB_Female_62_3515__r3c2.jpg,yes,expert,2026-08-23T20:19:03.049249
Duodenum_AAGAB_Female_62_3515__r3c3.jpg,yes,expert,2026-08-23T20:19:13.574502
Duodenum_AAGAB_Female_62_3515__r3c4.jpg,yes,expert,2026-08-23T20:19:20.929124
Duodenum_AAGAB_Female_62_3515__r3c5.jpg,yes,expert,2026-08-23T20:19:52.172917
Duodenum_AAGAB_Female_62_3515__r3c6.jpg,yes,expert,2026-08-23T20:19:55.115058
Duodenum_AAGAB_Female_62_3515__r4c1.jpg,no,expert,2026-08-23T20:19:57.935067
Duodenum_AAGAB_Female_62_3515__r4c2.jpg,yes,expert,2026-08-23T20:20:02.465420
Duodenum_AAGAB_Female_62_3515__r4c3.jpg,yes,expert,2026-08-23T20:21:24.552069
Duodenum_AAGAB_Female_62_3515__r4c4.jpg,yes,expert,2026-08-23T20:21:27.682753
