image_id,gene,source_dir
Duodenum_A1CF_Female_67_3479.jpg,A1CF,HPA_small_intestine
Duodenum_AAAS_Male_35_3219.jpg,AAAS,HPA_small_intestine
Duodenum_AACS_Male_59_1961.jpg,AACS,images
Duodenum_AAGAB_Female_62_3515.jpg,AAGAB,images
Duodenum_AASS_Male_50_1904.jpg,AASS,HPA_small_intestine
Duodenum_AATF_Male_50_1904.jpg,AATF,images
Duodenum_ABCA4_Female_61_3614.jpg,ABCA4,HPA_small_intestine
Duodenum_ABCA9_Male_55_1920.jpg,ABCA9,images
Duodenum_ABCG2_Female_67_3479.jpg,ABCG2,HPA_small_intestine
Duodenum_ABCG4_Male_59_1961.jpg,ABCG4,HPA_small_intestine
Duodenum_ABCG8_Female_60_3548.jpg,ABCG8,images
Duodenum_ABHD17C_Female_62_3515.jpg,ABHD17C,HPA_small_intestine
Duodenum_ABHD2_Male_50_1904.jpg,ABHD2,images
Duodenum_ABHD8_Male_50_1904.jpg,ABHD8,images
Duodenum_ABHD8_Male_54_2562.jpg,ABHD8,images
Duodenum_ABI3_Female_61_3614.jpg,ABI3,HPA_small_intestine
Duodenum_ABI3_Male_59_1961.jpg,ABI3,HPA_small_intestine
Duodenum_ACADS_Female_60_3548.jpg,ACADS,images
Duodenum_ACAN_Male_54_2562.jpg,ACAN,HPA_small_intestine
Duodenum_ACAT1_Male_66_2329.jpg,ACAT1,images
Duodenum_ACBD3_Male_54_2562.jpg,ACBD3,images
Duodenum_ACBD5_Male_66_2329.jpg,ACBD5,images
Duodenum_ACO1_Female_60_3548.jpg,ACO1,images
Duodenum_ACOT2_Female_62_3515.jpg,ACOT2,HPA_small_intestine
Duodenum_ACSF2_Male_50_1904.jpg,ACSF2,images
Duodenum_ACSL1_Female_61_3614.jpg,ACSL1,HPA_small_intestine
Duodenum_ACSL6_Female_67_3479.jpg,ACSL6,images
Duodenum_ACSM2B_Male_59_1961.jpg,ACSM2B,HPA_small_intestine
Duodenum_ACTBL2_Male_55_1920.jpg,ACTBL2,HPA_small_intestine
Duodenum_ACTC1_Male_55_1920.jpg,ACTC1,images
Duodenum_ACTN1_Male_50_1904.jpg,ACTN1,images
Duodenum_ACVR2A_Male_55_1920.jpg,ACVR2A,images
Duodenum_ADGRG1_Male_35_3219.jpg,ADGRG1,images
Duodenum_ADGRL1_Male_50_1904.jpg,ADGRL1,images
Duodenum_ADH6_Female_67_3479.jpg,ADH6,images
Duodenum_AFG3L2_Male_50_1904.jpg,AFG3L2,images
Duodenum_AGPAT1_Female_67_3479.jpg,AGPAT1,images
Duodenum_AGPAT2_Male_50_1904.jpg,AGPAT2,images
Duodenum_AGR2_Male_54_2562.jpg,AGR2,images
Duodenum_AGTPBP1_Female_67_3479.jpg,AGTPBP1,images
Duodenum_AHNAK_Female_60_3548.jpg,AHNAK,images
Duodenum_AHNAK_Male_50_1904.jpg,AHNAK,images
Duodenum_AIP_Female_67_3479.jpg,AIP,images
Duodenum_AK4_Male_55_1920.jpg,AK4,images
Duodenum_AK5_Female_62_3515.jpg,AK5,images
Duodenum_AKAP1_Male_50_1904.jpg,AKAP1,images
Duodenum_AKAP8_Female_67_3479.jpg,AKAP8,images
Duodenum_AKR1C3_Male_54_2562.jpg,AKR1C3,images
Duodenum_ALDH1B1_Female_60_3548.jpg,ALDH1B1,images
Duodenum_ALDH4A1_Male_50_1904.jpg,ALDH4A1,images
Duodenum_ALDOB_Female_75_1098.jpg,ALDOB,images
Duodenum_ALDOB_Male_84_139.jpg,ALDOB,images
Duodenum_ALG12_Male_55_1920.jpg,ALG12,images
Duodenum_ALG13_Male_50_1904.jpg,ALG13,images
Duodenum_ALG6_Female_61_3614.jpg,ALG6,images
Duodenum_ALG8_Female_67_3479.jpg,ALG8,images
Duodenum_ALKBH4_Female_67_3479.jpg,ALKBH4,images
Duodenum_ALKBH5_Male_66_2329.jpg,ALKBH5,images
Duodenum_ALPP_Male_55_1920.jpg,ALPP,images
Duodenum_ANAPC16_Male_35_3219.jpg,ANAPC16,images
Duodenum_ANKHD1_Male_50_1904.jpg,ANKHD1,images
Duodenum_ANKRA2_Female_67_3479.jpg,ANKRA2,images
Duodenum_ANKRD12_Male_55_1920.jpg,ANKRD12,images
Duodenum_ANLN_Male_59_1961.jpg,ANLN,images
Duodenum_ANPEP_Male_66_2329.jpg,ANPEP,images
Duodenum_AP5Z1_Male_55_1920.jpg,AP5Z1,images
Duodenum_APC_Male_59_1961.jpg,APC,images
Duodenum_APEX1_Male_50_1904.jpg,APEX1,images
Duodenum_APH1A_Male_55_1920.jpg,APH1A,images
Duodenum_API5_Male_50_1904.jpg,API5,images
Duodenum_APIP_Male_55_1920.jpg,APIP,images
Duodenum_APOO_Male_54_2562.jpg,APOO,images
Duodenum_APPBP2_Female_62_3515.jpg,APPBP2,images
Duodenum_APTX_Male_59_1961.jpg,APTX,images
Duodenum_AQP10_Male_59_1961.jpg,AQP10,images
Duodenum_ARAF_Male_59_1961.jpg,ARAF,images
Duodenum_ARFGEF1_Male_50_1904.jpg,ARFGEF1,images
